,Eps,Validity,Proximity,Prediction_gain,Proximity_score,Sparsity,Diversity
79,0.3191919191919192,0.322,1.611,0.245,0.581,3.923,0.819
80,0.3232323232323232,0.343,1.623,0.284,0.576,3.93,0.821
81,0.32727272727272727,0.301,1.536,0.242,0.571,3.664,0.825
82,0.33131313131313134,0.28,1.495,0.212,0.581,3.559,0.83
83,0.33535353535353535,0.301,1.427,0.24,0.576,3.357,0.835
84,0.3393939393939394,0.231,1.374,0.184,0.573,3.196,0.835
85,0.3434343434343434,0.224,1.336,0.165,0.564,3.077,0.836
86,0.3474747474747475,0.224,1.267,0.165,0.568,2.895,0.84
87,0.3515151515151515,0.238,1.258,0.195,0.563,2.846,0.848
88,0.35555555555555557,0.182,1.227,0.138,0.576,2.748,0.85
89,0.3595959595959596,0.182,1.172,0.138,0.565,2.594,0.857
90,0.36363636363636365,0.168,1.066,0.13,0.557,2.35,0.858
91,0.36767676767676766,0.161,1.048,0.135,0.56,2.287,0.862
92,0.3717171717171717,0.147,1.054,0.113,0.561,2.273,0.864
93,0.37575757575757573,0.119,0.948,0.092,0.555,2.021,0.862
94,0.3797979797979798,0.119,0.891,0.096,0.546,1.86,0.876
95,0.3838383838383838,0.084,0.848,0.063,0.549,1.741,0.876
96,0.3878787878787879,0.091,0.824,0.067,0.548,1.671,0.884
97,0.39191919191919194,0.063,0.794,0.05,0.545,1.601,0.882
98,0.39595959595959596,0.056,0.748,0.035,0.542,1.483,0.886
99,0.4,0.063,0.71,0.047,0.533,1.399,0.888
