,Dataset,Accuracy,Validity,Proximity,Prediction_gain,Proximity_score,Sparsity,Diversity,Ablation,Seed
24,adult,0.831101830241985,0.9998771649674488,7.636,0.748,0.043,9.203,2.09,None_change_dec_only_Independent_Vcnet,3
25,student,0.9293164805497608,0.99950914222604,11.614,0.932,0.374,33.139,3.196,None_change_dec_only_Independent_Vcnet,3
26,heloc,0.7139579349904398,1.0,5.635,0.662,0.217,23.988,1.285,None_change_dec_only_Independent_Vcnet,3
27,student_performance,0.9018404907975459,0.9202453987730062,19.793,0.882,0.701,21.571,4.244,None_change_dec_only_Independent_Vcnet,3
28,titanic,0.8161434977578476,0.9686098654708521,15.543,0.709,0.721,17.327,3.551,None_change_dec_only_Independent_Vcnet,3
29,breast_cancer,0.9720279720279721,1.0,5.11,0.986,0.264,30.0,0.565,None_change_dec_only_Independent_Vcnet,3
30,adult,0.8291364697211645,0.9998771649674488,7.603,0.731,0.045,9.189,2.091,None_change_dec_only_Independent_Vcnet,67
31,student,0.9315253405325808,0.99926371333906,11.571,0.933,0.375,33.106,3.194,None_change_dec_only_Independent_Vcnet,67
32,heloc,0.7139579349904398,1.0,5.517,0.651,0.228,23.97,1.292,None_change_dec_only_Independent_Vcnet,67
33,student_performance,0.9079754601226994,0.8895705521472392,19.409,0.857,0.698,21.19,4.257,None_change_dec_only_Independent_Vcnet,67
34,titanic,0.820627802690583,0.9730941704035876,15.714,0.739,0.702,17.507,3.47,None_change_dec_only_Independent_Vcnet,67
35,breast_cancer,0.965034965034965,1.0,5.087,0.987,0.277,30.0,0.545,None_change_dec_only_Independent_Vcnet,67
36,adult,0.831101830241985,0.9997543299348974,7.686,0.749,0.041,9.286,2.137,None_change_dec_only_Independent_Vcnet,98
37,student,0.9304209105411708,0.99963185666953,11.522,0.928,0.374,33.088,3.19,None_change_dec_only_Independent_Vcnet,98
38,heloc,0.7151051625239006,1.0,5.604,0.656,0.226,23.988,1.308,None_change_dec_only_Independent_Vcnet,98
39,student_performance,0.9079754601226994,0.9263803680981596,19.743,0.893,0.708,21.521,4.281,None_change_dec_only_Independent_Vcnet,98
40,titanic,0.8161434977578476,0.9910313901345292,15.305,0.719,0.72,17.103,3.506,None_change_dec_only_Independent_Vcnet,98
41,breast_cancer,0.9720279720279721,1.0,5.184,0.987,0.274,30.0,0.561,None_change_dec_only_Independent_Vcnet,98
42,adult,0.8303648200466773,1.0,7.711,0.755,0.047,9.313,2.12,None_change_dec_only_Independent_Vcnet,4
43,student,0.9289483372192908,0.99975457111302,11.469,0.942,0.371,33.033,3.177,None_change_dec_only_Independent_Vcnet,4
44,heloc,0.7139579349904398,1.0,5.635,0.678,0.214,24.085,1.365,None_change_dec_only_Independent_Vcnet,4
45,student_performance,0.9079754601226994,0.8895705521472392,20.384,0.864,0.708,22.16,4.264,None_change_dec_only_Independent_Vcnet,4
46,titanic,0.820627802690583,0.9596412556053812,15.352,0.708,0.72,17.148,3.561,None_change_dec_only_Independent_Vcnet,4
47,breast_cancer,0.965034965034965,1.0,5.166,0.986,0.279,30.0,0.556,None_change_dec_only_Independent_Vcnet,4
48,adult,0.8285222945584081,0.9992629898046924,7.604,0.731,0.041,9.211,2.088,None_change_dec_only_Independent_Vcnet,23
49,student,0.9354522027242608,0.99963185666953,11.626,0.944,0.375,33.137,3.199,None_change_dec_only_Independent_Vcnet,23
50,heloc,0.7193116634799235,1.0,5.501,0.597,0.252,23.928,1.377,None_change_dec_only_Independent_Vcnet,23
51,student_performance,0.9018404907975459,0.8711656441717791,19.524,0.846,0.706,21.301,4.273,None_change_dec_only_Independent_Vcnet,23
52,titanic,0.8161434977578476,0.9551569506726456,15.258,0.717,0.695,17.058,3.41,None_change_dec_only_Independent_Vcnet,23
53,breast_cancer,0.958041958041958,1.0,5.149,0.986,0.265,30.0,0.553,None_change_dec_only_Independent_Vcnet,23
54,adult,0.8290136346886132,0.9998771649674488,7.907,0.755,0.049,9.468,2.11,None_change_dec_only_Independent_Vcnet,8
55,student,0.9293164805497608,0.9991409988955698,11.511,0.939,0.366,33.09,3.178,None_change_dec_only_Independent_Vcnet,8
56,heloc,0.7154875717017208,1.0,5.67,0.651,0.212,24.103,1.391,None_change_dec_only_Independent_Vcnet,8
57,student_performance,0.9079754601226994,0.9079754601226994,19.584,0.879,0.705,21.362,4.245,None_change_dec_only_Independent_Vcnet,8
58,titanic,0.820627802690583,0.9865470852017936,15.962,0.734,0.72,17.749,3.522,None_change_dec_only_Independent_Vcnet,8
59,breast_cancer,0.965034965034965,1.0,5.145,0.987,0.269,30.0,0.544,None_change_dec_only_Independent_Vcnet,8
60,adult,0.8307333251443312,0.9998771649674488,7.671,0.759,0.044,9.222,2.104,None_change_dec_only_,42
61,student,0.9366793471591608,0.99975457111302,11.581,0.942,0.371,33.122,3.189,None_change_dec_only_,42
62,heloc,0.7131931166347992,0.9996175908221796,5.618,0.667,0.209,24.063,1.281,None_change_dec_only_,42
63,student_performance,0.9018404907975459,0.9447852760736196,19.815,0.921,0.717,21.595,4.258,None_change_dec_only_,42
64,titanic,0.8161434977578476,0.9820627802690582,15.703,0.728,0.693,17.498,3.439,None_change_dec_only_,42
65,breast_cancer,0.9720279720279721,1.0,5.163,0.986,0.281,30.0,0.562,None_change_dec_only_,42
66,adult,0.830241985014126,0.9997543299348974,7.702,0.747,0.049,9.264,2.134,None_change_dec_only_,12
67,student,0.9317707694195608,0.99963185666953,11.577,0.941,0.373,33.109,3.194,None_change_dec_only_,12
68,heloc,0.7204588910133843,1.0,5.503,0.641,0.209,24.013,1.334,None_change_dec_only_,12
69,student_performance,0.9079754601226994,0.9202453987730062,20.125,0.89,0.707,21.902,4.31,None_change_dec_only_,12
70,titanic,0.8161434977578476,0.9730941704035876,15.239,0.73,0.737,17.031,3.51,None_change_dec_only_,12
71,breast_cancer,0.9720279720279721,1.0,5.154,0.986,0.277,30.0,0.551,None_change_dec_only_,12
72,adult,0.8307333251443312,0.9996314949023462,7.663,0.744,0.049,9.234,2.121,None_change_dec_only_,34
73,student,0.9253896183580808,0.99963185666953,11.556,0.928,0.372,33.091,3.179,None_change_dec_only_,34
74,heloc,0.7162523900573614,1.0,5.565,0.656,0.229,23.928,1.257,None_change_dec_only_,34
75,student_performance,0.9018404907975459,0.9202453987730062,19.509,0.895,0.704,21.288,4.272,None_change_dec_only_,34
76,titanic,0.8161434977578476,0.9730941704035876,15.819,0.711,0.707,17.605,3.524,None_change_dec_only_,34
77,breast_cancer,0.965034965034965,1.0,5.197,0.985,0.272,30.0,0.558,None_change_dec_only_,34
78,adult,0.8299963149490235,1.0,7.691,0.753,0.047,9.261,2.065,None_change_dec_only_,56
79,student,0.9347159160633206,1.0,11.566,0.946,0.372,33.09,3.195,None_change_dec_only_,56
80,heloc,0.7120458891013385,1.0,5.558,0.665,0.205,23.999,1.292,None_change_dec_only_,56
81,student_performance,0.9079754601226994,0.9079754601226994,19.877,0.883,0.715,21.656,4.292,None_change_dec_only_,56
82,titanic,0.8116591928251121,0.9775784753363228,15.513,0.71,0.696,17.3,3.484,None_change_dec_only_,56
83,breast_cancer,0.965034965034965,1.0,5.176,0.987,0.274,30.0,0.547,None_change_dec_only_,56
84,adult,0.8298734799164722,0.9997543299348974,7.65,0.754,0.044,9.226,2.085,None_change_dec_only_,3
85,student,0.9307890538716408,0.99950914222604,11.604,0.932,0.372,33.135,3.194,None_change_dec_only_,3
86,heloc,0.7196940726577438,1.0,5.636,0.658,0.213,24.005,1.29,None_change_dec_only_,3
87,student_performance,0.8957055214723927,0.9325153374233128,19.793,0.894,0.701,21.571,4.248,None_change_dec_only_,3
88,titanic,0.8116591928251121,0.9730941704035876,15.596,0.711,0.721,17.381,3.547,None_change_dec_only_,3
89,breast_cancer,0.9720279720279721,1.0,5.11,0.986,0.264,30.0,0.565,None_change_dec_only_,3
