,Dataset,Accuracy,Validity,Proximity,Prediction_gain,Proximity_score,Sparsity,Diversity,Ablation,Seed
224,heloc,0.7135755258126195,0.9996175908221796,5.628,0.676,0.218,24.08,1.373,None_change_enc_dec_,4
225,student_performance,0.9141104294478528,0.8895705521472392,20.383,0.864,0.707,22.16,4.263,None_change_enc_dec_,4
226,titanic,0.820627802690583,0.9551569506726456,15.352,0.705,0.722,17.148,3.563,None_change_enc_dec_,4
227,breast_cancer,0.965034965034965,1.0,5.166,0.986,0.279,30.0,0.556,None_change_enc_dec_,4
228,adult,0.8288907996560619,0.9995086598697948,7.577,0.731,0.039,9.199,2.08,None_change_enc_dec_,23
229,student,0.9336114860719108,0.99975457111302,11.633,0.945,0.376,33.14,3.2,None_change_enc_dec_,23
230,heloc,0.7223709369024857,1.0,5.497,0.593,0.247,23.93,1.389,None_change_enc_dec_,23
231,student_performance,0.9018404907975459,0.8711656441717791,19.524,0.846,0.707,21.301,4.277,None_change_enc_dec_,23
232,titanic,0.8161434977578476,0.9551569506726456,15.267,0.717,0.695,17.067,3.407,None_change_enc_dec_,23
233,breast_cancer,0.958041958041958,1.0,5.149,0.986,0.266,30.0,0.553,None_change_enc_dec_,23
234,adult,0.831101830241985,0.9998771649674488,7.796,0.755,0.048,9.376,2.104,None_change_enc_dec_,8
235,student,0.9302981960976808,0.99938642778255,11.51,0.942,0.365,33.09,3.178,None_change_enc_dec_,8
236,heloc,0.7181644359464627,1.0,5.67,0.646,0.204,24.107,1.395,None_change_enc_dec_,8
237,student_performance,0.9079754601226994,0.9079754601226994,19.572,0.879,0.703,21.35,4.245,None_change_enc_dec_,8
238,titanic,0.820627802690583,0.9865470852017936,15.98,0.734,0.719,17.767,3.521,None_change_enc_dec_,8
239,breast_cancer,0.965034965034965,1.0,5.145,0.987,0.269,30.0,0.544,None_change_enc_dec_,8
240,adult,0.8298734799164722,0.9996314949023462,7.649,0.733,0.046,9.257,2.161,remove_enc_change_dec_only_Independent_Vcnet,42
241,student,0.9321389127500308,1.0,11.618,0.939,0.367,33.144,3.188,remove_enc_change_dec_only_Independent_Vcnet,42
242,heloc,0.7135755258126195,1.0,5.648,0.685,0.259,23.991,1.36,remove_enc_change_dec_only_Independent_Vcnet,42
243,student_performance,0.9018404907975459,0.9447852760736196,19.78,0.921,0.717,21.558,4.26,remove_enc_change_dec_only_Independent_Vcnet,42
244,titanic,0.820627802690583,0.9865470852017936,16.135,0.752,0.705,17.919,3.51,remove_enc_change_dec_only_Independent_Vcnet,42
245,breast_cancer,0.9720279720279721,1.0,5.186,0.986,0.264,30.0,0.55,remove_enc_change_dec_only_Independent_Vcnet,42
246,adult,0.8312246652745363,0.9996314949023462,7.69,0.739,0.046,9.289,2.142,remove_enc_change_dec_only_Independent_Vcnet,12
247,student,0.9341023438458708,0.99950914222604,11.557,0.941,0.37,33.094,3.19,remove_enc_change_dec_only_Independent_Vcnet,12
248,heloc,0.7147227533460803,1.0,5.536,0.642,0.233,23.966,1.36,remove_enc_change_dec_only_Independent_Vcnet,12
249,student_performance,0.9018404907975459,0.9447852760736196,20.072,0.917,0.707,21.853,4.296,remove_enc_change_dec_only_Independent_Vcnet,12
250,titanic,0.8251121076233184,0.9730941704035876,15.508,0.735,0.723,17.3,3.503,remove_enc_change_dec_only_Independent_Vcnet,12
251,breast_cancer,0.9720279720279721,1.0,5.163,0.986,0.263,29.993,0.56,remove_enc_change_dec_only_Independent_Vcnet,12
252,adult,0.8304876550792286,0.9997543299348974,7.584,0.734,0.04,9.196,2.111,remove_enc_change_dec_only_Independent_Vcnet,34
253,student,0.9311571972021108,0.99963185666953,11.652,0.944,0.377,33.17,3.201,remove_enc_change_dec_only_Independent_Vcnet,34
254,heloc,0.7112810707456979,0.9996175908221796,5.625,0.666,0.231,24.027,1.343,remove_enc_change_dec_only_Independent_Vcnet,34
255,student_performance,0.8834355828220859,0.9263803680981596,19.76,0.898,0.708,21.534,4.283,remove_enc_change_dec_only_Independent_Vcnet,34
256,titanic,0.8161434977578476,0.9641255605381166,15.672,0.731,0.695,17.462,3.508,remove_enc_change_dec_only_Independent_Vcnet,34
257,breast_cancer,0.965034965034965,1.0,5.241,0.986,0.276,30.0,0.57,remove_enc_change_dec_only_Independent_Vcnet,34
258,adult,0.8312246652745363,0.9998771649674488,7.753,0.745,0.045,9.36,2.184,remove_enc_change_dec_only_Independent_Vcnet,56
259,student,0.9320161983065408,0.99950914222604,11.528,0.946,0.37,33.065,3.184,remove_enc_change_dec_only_Independent_Vcnet,56
260,heloc,0.7212237093690248,1.0,5.52,0.67,0.229,23.902,1.361,remove_enc_change_dec_only_Independent_Vcnet,56
261,student_performance,0.9079754601226994,0.9141104294478528,19.838,0.89,0.713,21.62,4.288,remove_enc_change_dec_only_Independent_Vcnet,56
262,titanic,0.820627802690583,0.9775784753363228,15.524,0.711,0.708,17.318,3.479,remove_enc_change_dec_only_Independent_Vcnet,56
263,breast_cancer,0.9720279720279721,1.0,5.182,0.986,0.281,30.0,0.557,remove_enc_change_dec_only_Independent_Vcnet,56
264,adult,0.8296278098513696,0.9997543299348974,7.7,0.753,0.045,9.284,2.164,remove_enc_change_dec_only_Independent_Vcnet,3
265,student,0.9314026260890906,0.99975457111302,11.618,0.935,0.374,33.137,3.199,remove_enc_change_dec_only_Independent_Vcnet,3
266,heloc,0.7116634799235182,1.0,5.566,0.639,0.235,23.993,1.264,remove_enc_change_dec_only_Independent_Vcnet,3
267,student_performance,0.8957055214723927,0.9325153374233128,19.793,0.9,0.702,21.571,4.252,remove_enc_change_dec_only_Independent_Vcnet,3
268,titanic,0.820627802690583,0.9775784753363228,15.024,0.709,0.719,16.825,3.492,remove_enc_change_dec_only_Independent_Vcnet,3
269,breast_cancer,0.965034965034965,1.0,5.156,0.986,0.279,30.0,0.551,remove_enc_change_dec_only_Independent_Vcnet,3
270,adult,0.8308561601768825,1.0,7.879,0.753,0.048,9.432,2.125,remove_enc_change_dec_only_Independent_Vcnet,67
271,student,0.9309117683151308,0.99950914222604,11.623,0.939,0.377,33.115,3.199,remove_enc_change_dec_only_Independent_Vcnet,67
272,heloc,0.7151051625239006,1.0,5.657,0.664,0.218,24.066,1.326,remove_enc_change_dec_only_Independent_Vcnet,67
273,student_performance,0.9018404907975459,0.9079754601226994,19.387,0.878,0.692,21.166,4.239,remove_enc_change_dec_only_Independent_Vcnet,67
274,titanic,0.8251121076233184,0.9775784753363228,16.201,0.715,0.687,17.982,3.521,remove_enc_change_dec_only_Independent_Vcnet,67
275,breast_cancer,0.965034965034965,1.0,5.178,0.986,0.273,30.0,0.56,remove_enc_change_dec_only_Independent_Vcnet,67
276,adult,0.8314703353396389,0.9997543299348974,7.766,0.738,0.046,9.374,2.18,remove_enc_change_dec_only_Independent_Vcnet,98
277,student,0.9268621916799608,0.99975457111302,11.514,0.951,0.37,33.052,3.189,remove_enc_change_dec_only_Independent_Vcnet,98
278,heloc,0.7166347992351817,0.9996175908221796,5.625,0.648,0.233,23.997,1.322,remove_enc_change_dec_only_Independent_Vcnet,98
279,student_performance,0.8895705521472392,0.9325153374233128,19.817,0.903,0.706,21.595,4.282,remove_enc_change_dec_only_Independent_Vcnet,98
280,titanic,0.8161434977578476,0.9865470852017936,15.521,0.728,0.728,17.318,3.512,remove_enc_change_dec_only_Independent_Vcnet,98
281,breast_cancer,0.9720279720279721,1.0,5.163,0.986,0.277,30.0,0.559,remove_enc_change_dec_only_Independent_Vcnet,98
282,adult,0.8312246652745363,0.9997543299348974,7.704,0.751,0.049,9.3,2.13,remove_enc_change_dec_only_Independent_Vcnet,4
283,student,0.9341023438458708,0.9998772855565099,11.508,0.943,0.367,33.035,3.17,remove_enc_change_dec_only_Independent_Vcnet,4
284,heloc,0.7143403441682601,1.0,5.65,0.633,0.207,24.024,1.322,remove_enc_change_dec_only_Independent_Vcnet,4
285,student_performance,0.9079754601226994,0.8895705521472392,20.381,0.855,0.711,22.16,4.267,remove_enc_change_dec_only_Independent_Vcnet,4
286,titanic,0.8161434977578476,0.9730941704035876,15.378,0.722,0.713,17.175,3.518,remove_enc_change_dec_only_Independent_Vcnet,4
287,breast_cancer,0.9720279720279721,1.0,5.182,0.986,0.279,30.0,0.555,remove_enc_change_dec_only_Independent_Vcnet,4
288,adult,0.8298734799164722,0.9995086598697948,7.739,0.74,0.043,9.292,2.121,remove_enc_change_dec_only_Independent_Vcnet,23
289,student,0.9336114860719108,0.9998772855565099,11.626,0.942,0.374,33.114,3.197,remove_enc_change_dec_only_Independent_Vcnet,23
290,heloc,0.7193116634799235,1.0,5.557,0.651,0.243,23.926,1.374,remove_enc_change_dec_only_Independent_Vcnet,23
291,student_performance,0.9018404907975459,0.8895705521472392,19.533,0.862,0.702,21.313,4.272,remove_enc_change_dec_only_Independent_Vcnet,23
292,titanic,0.8161434977578476,0.9865470852017936,15.952,0.761,0.704,17.74,3.472,remove_enc_change_dec_only_Independent_Vcnet,23
293,breast_cancer,0.965034965034965,1.0,5.133,0.987,0.275,30.0,0.548,remove_enc_change_dec_only_Independent_Vcnet,23
294,adult,0.8295049748188184,0.9992629898046924,7.653,0.736,0.046,9.259,2.13,remove_enc_change_dec_only_Independent_Vcnet,8
295,student,0.9306663394281508,1.0,11.557,0.933,0.37,33.109,3.185,remove_enc_change_dec_only_Independent_Vcnet,8
296,heloc,0.7043977055449331,0.9996175908221796,5.574,0.62,0.248,24.02,1.378,remove_enc_change_dec_only_Independent_Vcnet,8
297,student_performance,0.8895705521472392,0.9263803680981596,19.731,0.894,0.703,21.509,4.273,remove_enc_change_dec_only_Independent_Vcnet,8
298,titanic,0.7982062780269058,0.9820627802690582,16.258,0.706,0.737,18.036,3.562,remove_enc_change_dec_only_Independent_Vcnet,8
299,breast_cancer,0.9720279720279721,1.0,5.134,0.987,0.273,30.0,0.555,remove_enc_change_dec_only_Independent_Vcnet,8
300,adult,0.8286451295909594,0.9998771649674488,7.648,0.736,0.044,9.271,2.16,remove_enc_change_dec_only_,42
301,student,0.9301754816541908,0.99963185666953,11.628,0.939,0.367,33.149,3.189,remove_enc_change_dec_only_,42
302,heloc,0.7143403441682601,1.0,5.66,0.682,0.259,24.002,1.376,remove_enc_change_dec_only_,42
303,student_performance,0.9018404907975459,0.9447852760736196,19.78,0.921,0.718,21.558,4.259,remove_enc_change_dec_only_,42
304,titanic,0.820627802690583,0.9865470852017936,16.125,0.751,0.706,17.91,3.508,remove_enc_change_dec_only_,42
305,breast_cancer,0.9720279720279721,1.0,5.186,0.986,0.264,30.0,0.55,remove_enc_change_dec_only_,42
306,adult,0.8307333251443312,0.9996314949023462,7.661,0.736,0.043,9.275,2.143,remove_enc_change_dec_only_,12
307,student,0.9348386305068106,0.99975457111302,11.555,0.942,0.371,33.096,3.19,remove_enc_change_dec_only_,12
308,heloc,0.7128107074569789,0.9996175908221796,5.526,0.645,0.239,23.951,1.357,remove_enc_change_dec_only_,12
309,student_performance,0.9018404907975459,0.9447852760736196,20.072,0.918,0.708,21.853,4.296,remove_enc_change_dec_only_,12
310,titanic,0.8251121076233184,0.9730941704035876,15.499,0.735,0.723,17.291,3.503,remove_enc_change_dec_only_,12
311,breast_cancer,0.9720279720279721,1.0,5.164,0.986,0.263,30.0,0.56,remove_enc_change_dec_only_,12
312,adult,0.8282766244933055,0.9996314949023462,7.613,0.734,0.041,9.223,2.122,remove_enc_change_dec_only_,34
313,student,0.9322616271935208,0.99963185666953,11.652,0.945,0.376,33.17,3.2,remove_enc_change_dec_only_,34
314,heloc,0.7151051625239006,0.9996175908221796,5.653,0.674,0.233,24.005,1.322,remove_enc_change_dec_only_,34
315,student_performance,0.8895705521472392,0.9263803680981596,19.747,0.898,0.709,21.521,4.284,remove_enc_change_dec_only_,34
316,titanic,0.8161434977578476,0.9641255605381166,15.672,0.731,0.695,17.462,3.509,remove_enc_change_dec_only_,34
317,breast_cancer,0.965034965034965,1.0,5.241,0.986,0.276,30.0,0.57,remove_enc_change_dec_only_,34
318,adult,0.8318388404372927,0.9997543299348974,7.735,0.746,0.044,9.349,2.179,remove_enc_change_dec_only_,56
319,student,0.9314026260890906,0.99975457111302,11.521,0.947,0.37,33.059,3.183,remove_enc_change_dec_only_,56
320,heloc,0.7223709369024857,1.0,5.527,0.673,0.23,23.902,1.359,remove_enc_change_dec_only_,56
321,student_performance,0.9079754601226994,0.9079754601226994,19.838,0.885,0.714,21.62,4.287,remove_enc_change_dec_only_,56
322,titanic,0.820627802690583,0.9775784753363228,15.533,0.711,0.71,17.327,3.48,remove_enc_change_dec_only_,56
323,breast_cancer,0.9720279720279721,1.0,5.182,0.986,0.282,30.0,0.557,remove_enc_change_dec_only_,56
324,adult,0.830241985014126,0.9997543299348974,7.683,0.751,0.046,9.262,2.138,remove_enc_change_dec_only_,3
325,student,0.9315253405325808,0.99975457111302,11.612,0.934,0.373,33.132,3.198,remove_enc_change_dec_only_,3
326,heloc,0.7139579349904398,1.0,5.584,0.636,0.236,23.995,1.265,remove_enc_change_dec_only_,3
327,student_performance,0.8957055214723927,0.9386503067484664,19.793,0.906,0.702,21.571,4.252,remove_enc_change_dec_only_,3
328,titanic,0.820627802690583,0.9775784753363228,15.006,0.706,0.72,16.807,3.492,remove_enc_change_dec_only_,3
329,breast_cancer,0.965034965034965,1.0,5.156,0.986,0.279,30.0,0.551,remove_enc_change_dec_only_,3
330,adult,0.8325758506326004,1.0,7.839,0.75,0.045,9.388,2.081,remove_enc_change_dec_only_,67
331,student,0.9295619094367408,0.99963185666953,11.616,0.942,0.377,33.12,3.198,remove_enc_change_dec_only_,67
332,heloc,0.7143403441682601,1.0,5.646,0.672,0.222,24.062,1.33,remove_enc_change_dec_only_,67
333,student_performance,0.9018404907975459,0.9079754601226994,19.4,0.878,0.692,21.178,4.24,remove_enc_change_dec_only_,67
334,titanic,0.8251121076233184,0.9775784753363228,16.219,0.715,0.691,18.0,3.522,remove_enc_change_dec_only_,67
335,breast_cancer,0.965034965034965,1.0,5.179,0.986,0.273,30.0,0.56,remove_enc_change_dec_only_,67
336,adult,0.8317160054047414,0.9997543299348974,7.775,0.741,0.046,9.383,2.173,remove_enc_change_dec_only_,98
337,student,0.9258804761320408,0.99963185666953,11.517,0.952,0.371,33.057,3.19,remove_enc_change_dec_only_,98
338,heloc,0.7173996175908222,0.9992351816443594,5.621,0.65,0.225,23.993,1.32,remove_enc_change_dec_only_,98
339,student_performance,0.8957055214723927,0.9263803680981596,19.792,0.903,0.707,21.571,4.282,remove_enc_change_dec_only_,98
340,titanic,0.8161434977578476,0.9865470852017936,15.521,0.728,0.73,17.318,3.514,remove_enc_change_dec_only_,98
341,breast_cancer,0.9720279720279721,1.0,5.163,0.986,0.277,30.0,0.559,remove_enc_change_dec_only_,98
342,adult,0.8297506448839209,0.9998771649674488,7.782,0.749,0.05,9.372,2.139,remove_enc_change_dec_only_,4
343,student,0.9334887716284208,0.9998772855565099,11.506,0.942,0.367,33.035,3.17,remove_enc_change_dec_only_,4
344,heloc,0.7151051625239006,1.0,5.666,0.643,0.206,24.019,1.327,remove_enc_change_dec_only_,4
345,student_performance,0.9079754601226994,0.8895705521472392,20.381,0.855,0.71,22.16,4.267,remove_enc_change_dec_only_,4
346,titanic,0.8161434977578476,0.9730941704035876,15.386,0.722,0.712,17.184,3.515,remove_enc_change_dec_only_,4
347,breast_cancer,0.9720279720279721,1.0,5.182,0.986,0.28,30.0,0.555,remove_enc_change_dec_only_,4
348,adult,0.8288907996560619,0.9997543299348974,7.692,0.733,0.044,9.26,2.1,remove_enc_change_dec_only_,23
349,student,0.9337342005154008,1.0,11.627,0.942,0.374,33.123,3.198,remove_enc_change_dec_only_,23
350,heloc,0.7181644359464627,1.0,5.552,0.647,0.233,23.933,1.36,remove_enc_change_dec_only_,23
351,student_performance,0.9018404907975459,0.8895705521472392,19.545,0.861,0.702,21.325,4.273,remove_enc_change_dec_only_,23
352,titanic,0.8161434977578476,0.9865470852017936,15.952,0.761,0.704,17.74,3.472,remove_enc_change_dec_only_,23
353,breast_cancer,0.965034965034965,1.0,5.134,0.987,0.275,30.0,0.548,remove_enc_change_dec_only_,23
354,adult,0.8296278098513696,0.9992629898046924,7.681,0.739,0.047,9.288,2.139,remove_enc_change_dec_only_,8
355,student,0.9283347650018408,0.9998772855565099,11.551,0.932,0.37,33.105,3.184,remove_enc_change_dec_only_,8
356,heloc,0.7059273422562141,0.9996175908221796,5.597,0.621,0.251,24.007,1.376,remove_enc_change_dec_only_,8
357,student_performance,0.8895705521472392,0.9325153374233128,19.744,0.903,0.703,21.521,4.273,remove_enc_change_dec_only_,8
358,titanic,0.7982062780269058,0.9820627802690582,16.285,0.706,0.734,18.063,3.563,remove_enc_change_dec_only_,8
359,breast_cancer,0.9720279720279721,1.0,5.134,0.987,0.273,30.0,0.555,remove_enc_change_dec_only_,8
