,Dataset,Accuracy,Validity,Proximity,Prediction_gain,Proximity_score,Sparsity,Diversity,Ablation,Seed
55,student,0.9293164805497608,0.9991409988955698,11.511,0.939,0.366,33.09,3.178,None_change_dec_only,8
56,heloc,0.7154875717017208,1.0,5.67,0.651,0.212,24.103,1.391,None_change_dec_only,8
57,student_performance,0.9079754601226994,0.9079754601226994,19.584,0.879,0.705,21.362,4.245,None_change_dec_only,8
58,titanic,0.820627802690583,0.9865470852017936,15.962,0.734,0.72,17.749,3.522,None_change_dec_only,8
59,breast_cancer,0.965034965034965,1.0,5.145,0.987,0.269,30.0,0.544,None_change_dec_only,8
60,adult,0.8308561601768825,0.9998771649674488,7.739,0.757,0.045,9.284,2.128,None_change_enc_dec,42
61,student,0.9363112038286906,0.99963185666953,11.585,0.937,0.37,33.128,3.19,None_change_enc_dec,42
62,heloc,0.7128107074569789,1.0,5.64,0.665,0.211,24.064,1.291,None_change_enc_dec,42
63,student_performance,0.9079754601226994,0.9447852760736196,19.827,0.92,0.716,21.607,4.255,None_change_enc_dec,42
64,titanic,0.8251121076233184,0.9820627802690582,15.746,0.728,0.694,17.543,3.445,None_change_enc_dec,42
65,breast_cancer,0.9720279720279721,1.0,5.163,0.986,0.281,30.0,0.562,None_change_enc_dec,42
66,adult,0.8307333251443312,0.9993858248372436,7.654,0.745,0.047,9.225,2.112,None_change_enc_dec,12
67,student,0.9333660571849308,0.99975457111302,11.568,0.942,0.372,33.096,3.192,None_change_enc_dec,12
68,heloc,0.718546845124283,1.0,5.493,0.647,0.211,24.003,1.332,None_change_enc_dec,12
69,student_performance,0.9079754601226994,0.9202453987730062,20.125,0.89,0.707,21.902,4.309,None_change_enc_dec,12
70,titanic,0.8161434977578476,0.9730941704035876,15.239,0.73,0.739,17.031,3.509,None_change_enc_dec,12
71,breast_cancer,0.9720279720279721,1.0,5.153,0.986,0.276,30.0,0.551,None_change_enc_dec,12
72,adult,0.831101830241985,0.9997543299348974,7.706,0.748,0.048,9.296,2.14,None_change_enc_dec,34
73,student,0.9252669039145908,0.99975457111302,11.552,0.927,0.372,33.093,3.178,None_change_enc_dec,34
74,heloc,0.7177820267686424,0.9992351816443594,5.565,0.652,0.228,23.938,1.269,None_change_enc_dec,34
75,student_performance,0.8957055214723927,0.9263803680981596,19.546,0.895,0.704,21.325,4.272,None_change_enc_dec,34
76,titanic,0.8161434977578476,0.9730941704035876,15.828,0.711,0.706,17.614,3.521,None_change_enc_dec,34
77,breast_cancer,0.965034965034965,1.0,5.197,0.985,0.272,30.0,0.558,None_change_enc_dec,34
78,adult,0.8306104901117799,1.0,7.691,0.754,0.048,9.254,2.091,None_change_enc_dec,56
79,student,0.9341023438458708,1.0,11.566,0.944,0.372,33.087,3.195,None_change_enc_dec,56
80,heloc,0.7105162523900573,1.0,5.526,0.669,0.202,23.994,1.281,None_change_enc_dec,56
81,student_performance,0.9018404907975459,0.9141104294478528,19.889,0.883,0.713,21.669,4.29,None_change_enc_dec,56
82,titanic,0.8161434977578476,0.9775784753363228,15.53,0.712,0.698,17.318,3.49,None_change_enc_dec,56
83,breast_cancer,0.965034965034965,1.0,5.176,0.987,0.274,30.0,0.547,None_change_enc_dec,56
84,adult,0.831101830241985,0.9998771649674488,7.636,0.748,0.043,9.203,2.09,None_change_enc_dec,3
85,student,0.9293164805497608,0.99950914222604,11.614,0.932,0.374,33.139,3.196,None_change_enc_dec,3
86,heloc,0.7139579349904398,1.0,5.635,0.662,0.217,23.988,1.285,None_change_enc_dec,3
87,student_performance,0.9018404907975459,0.9202453987730062,19.793,0.882,0.701,21.571,4.244,None_change_enc_dec,3
88,titanic,0.8161434977578476,0.9686098654708521,15.543,0.709,0.722,17.327,3.549,None_change_enc_dec,3
89,breast_cancer,0.9720279720279721,1.0,5.11,0.986,0.264,30.0,0.565,None_change_enc_dec,3
90,adult,0.8291364697211645,0.9998771649674488,7.603,0.731,0.045,9.189,2.091,None_change_enc_dec,67
91,student,0.9315253405325808,0.99926371333906,11.571,0.933,0.375,33.106,3.194,None_change_enc_dec,67
92,heloc,0.7139579349904398,1.0,5.517,0.651,0.228,23.969,1.292,None_change_enc_dec,67
93,student_performance,0.9079754601226994,0.8895705521472392,19.409,0.857,0.698,21.19,4.257,None_change_enc_dec,67
94,titanic,0.820627802690583,0.9730941704035876,15.715,0.739,0.702,17.507,3.47,None_change_enc_dec,67
95,breast_cancer,0.965034965034965,1.0,5.087,0.987,0.277,30.0,0.545,None_change_enc_dec,67
96,adult,0.831101830241985,0.9997543299348974,7.686,0.749,0.041,9.286,2.137,None_change_enc_dec,98
97,student,0.9304209105411708,0.99963185666953,11.522,0.928,0.374,33.088,3.19,None_change_enc_dec,98
98,heloc,0.7151051625239006,1.0,5.604,0.656,0.226,23.988,1.308,None_change_enc_dec,98
99,student_performance,0.9079754601226994,0.9263803680981596,19.743,0.893,0.708,21.521,4.281,None_change_enc_dec,98
100,titanic,0.8161434977578476,0.9910313901345292,15.305,0.719,0.72,17.103,3.506,None_change_enc_dec,98
101,breast_cancer,0.9720279720279721,1.0,5.184,0.987,0.274,30.0,0.561,None_change_enc_dec,98
102,adult,0.8303648200466773,1.0,7.711,0.755,0.047,9.313,2.12,None_change_enc_dec,4
103,student,0.9289483372192908,0.99975457111302,11.469,0.942,0.371,33.033,3.177,None_change_enc_dec,4
104,heloc,0.7139579349904398,1.0,5.635,0.678,0.214,24.086,1.365,None_change_enc_dec,4
105,student_performance,0.9079754601226994,0.8895705521472392,20.384,0.864,0.708,22.16,4.264,None_change_enc_dec,4
106,titanic,0.820627802690583,0.9596412556053812,15.352,0.708,0.72,17.148,3.561,None_change_enc_dec,4
107,breast_cancer,0.965034965034965,1.0,5.166,0.986,0.279,30.0,0.556,None_change_enc_dec,4
108,adult,0.8285222945584081,0.9992629898046924,7.604,0.731,0.041,9.211,2.088,None_change_enc_dec,23
109,student,0.9354522027242608,0.99963185666953,11.626,0.944,0.375,33.137,3.199,None_change_enc_dec,23
110,heloc,0.7193116634799235,1.0,5.501,0.597,0.252,23.928,1.377,None_change_enc_dec,23
111,student_performance,0.9018404907975459,0.8711656441717791,19.524,0.846,0.706,21.301,4.273,None_change_enc_dec,23
112,titanic,0.8161434977578476,0.9551569506726456,15.258,0.717,0.695,17.058,3.409,None_change_enc_dec,23
113,breast_cancer,0.958041958041958,1.0,5.149,0.986,0.265,30.0,0.553,None_change_enc_dec,23
114,adult,0.8290136346886132,0.9998771649674488,7.906,0.755,0.049,9.467,2.11,None_change_enc_dec,8
115,student,0.9293164805497608,0.9991409988955698,11.511,0.939,0.366,33.09,3.178,None_change_enc_dec,8
116,heloc,0.7154875717017208,1.0,5.67,0.651,0.212,24.104,1.391,None_change_enc_dec,8
117,student_performance,0.9079754601226994,0.9079754601226994,19.584,0.879,0.705,21.362,4.245,None_change_enc_dec,8
118,titanic,0.820627802690583,0.9865470852017936,15.971,0.734,0.717,17.758,3.521,None_change_enc_dec,8
119,breast_cancer,0.965034965034965,1.0,5.145,0.987,0.269,30.0,0.544,None_change_enc_dec,8
120,adult,0.8298734799164722,0.9996314949023462,7.649,0.733,0.046,9.257,2.161,remove_enc_change_dec_only,42
121,student,0.9321389127500308,1.0,11.618,0.939,0.367,33.144,3.188,remove_enc_change_dec_only,42
122,heloc,0.7135755258126195,1.0,5.648,0.685,0.259,23.991,1.36,remove_enc_change_dec_only,42
123,student_performance,0.9018404907975459,0.9447852760736196,19.78,0.921,0.717,21.558,4.26,remove_enc_change_dec_only,42
124,titanic,0.820627802690583,0.9865470852017936,16.135,0.752,0.705,17.919,3.51,remove_enc_change_dec_only,42
125,breast_cancer,0.9720279720279721,1.0,5.186,0.986,0.264,30.0,0.55,remove_enc_change_dec_only,42
126,adult,0.8312246652745363,0.9996314949023462,7.69,0.739,0.046,9.289,2.142,remove_enc_change_dec_only,12
127,student,0.9341023438458708,0.99950914222604,11.557,0.941,0.37,33.094,3.19,remove_enc_change_dec_only,12
128,heloc,0.7147227533460803,1.0,5.536,0.642,0.233,23.966,1.36,remove_enc_change_dec_only,12
129,student_performance,0.9018404907975459,0.9447852760736196,20.072,0.917,0.707,21.853,4.296,remove_enc_change_dec_only,12
130,titanic,0.8251121076233184,0.9730941704035876,15.508,0.735,0.723,17.3,3.503,remove_enc_change_dec_only,12
131,breast_cancer,0.9720279720279721,1.0,5.163,0.986,0.263,29.993,0.56,remove_enc_change_dec_only,12
132,adult,0.8304876550792286,0.9997543299348974,7.584,0.734,0.04,9.196,2.111,remove_enc_change_dec_only,34
133,student,0.9311571972021108,0.99963185666953,11.652,0.944,0.377,33.17,3.201,remove_enc_change_dec_only,34
134,heloc,0.7112810707456979,0.9996175908221796,5.625,0.666,0.231,24.027,1.343,remove_enc_change_dec_only,34
135,student_performance,0.8834355828220859,0.9263803680981596,19.76,0.898,0.708,21.534,4.283,remove_enc_change_dec_only,34
136,titanic,0.8161434977578476,0.9641255605381166,15.672,0.731,0.695,17.462,3.508,remove_enc_change_dec_only,34
137,breast_cancer,0.965034965034965,1.0,5.241,0.986,0.276,30.0,0.57,remove_enc_change_dec_only,34
138,adult,0.8312246652745363,0.9998771649674488,7.753,0.745,0.045,9.36,2.184,remove_enc_change_dec_only,56
139,student,0.9320161983065408,0.99950914222604,11.528,0.946,0.37,33.065,3.184,remove_enc_change_dec_only,56
140,heloc,0.7212237093690248,1.0,5.52,0.67,0.229,23.902,1.361,remove_enc_change_dec_only,56
141,student_performance,0.9079754601226994,0.9141104294478528,19.838,0.89,0.713,21.62,4.288,remove_enc_change_dec_only,56
142,titanic,0.820627802690583,0.9775784753363228,15.524,0.711,0.708,17.318,3.479,remove_enc_change_dec_only,56
143,breast_cancer,0.9720279720279721,1.0,5.182,0.986,0.281,30.0,0.557,remove_enc_change_dec_only,56
144,adult,0.8296278098513696,0.9997543299348974,7.7,0.753,0.045,9.284,2.164,remove_enc_change_dec_only,3
145,student,0.9314026260890906,0.99975457111302,11.618,0.935,0.374,33.137,3.199,remove_enc_change_dec_only,3
146,heloc,0.7116634799235182,1.0,5.566,0.639,0.235,23.993,1.264,remove_enc_change_dec_only,3
147,student_performance,0.8957055214723927,0.9325153374233128,19.793,0.9,0.702,21.571,4.252,remove_enc_change_dec_only,3
148,titanic,0.820627802690583,0.9775784753363228,15.024,0.709,0.719,16.825,3.492,remove_enc_change_dec_only,3
149,breast_cancer,0.965034965034965,1.0,5.156,0.986,0.279,30.0,0.551,remove_enc_change_dec_only,3
150,adult,0.8308561601768825,1.0,7.879,0.753,0.048,9.432,2.125,remove_enc_change_dec_only,67
151,student,0.9309117683151308,0.99950914222604,11.623,0.939,0.377,33.115,3.199,remove_enc_change_dec_only,67
152,heloc,0.7151051625239006,1.0,5.657,0.664,0.218,24.066,1.326,remove_enc_change_dec_only,67
153,student_performance,0.9018404907975459,0.9079754601226994,19.387,0.878,0.692,21.166,4.239,remove_enc_change_dec_only,67
154,titanic,0.8251121076233184,0.9775784753363228,16.201,0.715,0.687,17.982,3.521,remove_enc_change_dec_only,67
155,breast_cancer,0.965034965034965,1.0,5.178,0.986,0.273,30.0,0.56,remove_enc_change_dec_only,67
156,adult,0.8314703353396389,0.9997543299348974,7.766,0.738,0.046,9.374,2.18,remove_enc_change_dec_only,98
157,student,0.9268621916799608,0.99975457111302,11.514,0.951,0.37,33.052,3.189,remove_enc_change_dec_only,98
158,heloc,0.7166347992351817,0.9996175908221796,5.625,0.648,0.233,23.997,1.322,remove_enc_change_dec_only,98
159,student_performance,0.8895705521472392,0.9325153374233128,19.817,0.903,0.706,21.595,4.282,remove_enc_change_dec_only,98
160,titanic,0.8161434977578476,0.9865470852017936,15.521,0.728,0.728,17.318,3.512,remove_enc_change_dec_only,98
161,breast_cancer,0.9720279720279721,1.0,5.163,0.986,0.277,30.0,0.559,remove_enc_change_dec_only,98
162,adult,0.8312246652745363,0.9997543299348974,7.704,0.751,0.049,9.3,2.13,remove_enc_change_dec_only,4
163,student,0.9341023438458708,0.9998772855565099,11.508,0.943,0.367,33.035,3.17,remove_enc_change_dec_only,4
164,heloc,0.7143403441682601,1.0,5.65,0.633,0.207,24.024,1.322,remove_enc_change_dec_only,4
165,student_performance,0.9079754601226994,0.8895705521472392,20.381,0.855,0.711,22.16,4.267,remove_enc_change_dec_only,4
166,titanic,0.8161434977578476,0.9730941704035876,15.378,0.722,0.713,17.175,3.518,remove_enc_change_dec_only,4
167,breast_cancer,0.9720279720279721,1.0,5.182,0.986,0.279,30.0,0.555,remove_enc_change_dec_only,4
168,adult,0.8298734799164722,0.9995086598697948,7.739,0.74,0.043,9.292,2.121,remove_enc_change_dec_only,23
169,student,0.9336114860719108,0.9998772855565099,11.626,0.942,0.374,33.114,3.197,remove_enc_change_dec_only,23
170,heloc,0.7193116634799235,1.0,5.557,0.651,0.243,23.926,1.374,remove_enc_change_dec_only,23
171,student_performance,0.9018404907975459,0.8895705521472392,19.533,0.862,0.702,21.313,4.272,remove_enc_change_dec_only,23
172,titanic,0.8161434977578476,0.9865470852017936,15.952,0.761,0.704,17.74,3.472,remove_enc_change_dec_only,23
173,breast_cancer,0.965034965034965,1.0,5.133,0.987,0.275,30.0,0.548,remove_enc_change_dec_only,23
174,adult,0.8295049748188184,0.9992629898046924,7.653,0.736,0.046,9.259,2.13,remove_enc_change_dec_only,8
175,student,0.9306663394281508,1.0,11.557,0.933,0.37,33.109,3.185,remove_enc_change_dec_only,8
176,heloc,0.7043977055449331,0.9996175908221796,5.574,0.62,0.248,24.02,1.378,remove_enc_change_dec_only,8
177,student_performance,0.8895705521472392,0.9263803680981596,19.731,0.894,0.703,21.509,4.273,remove_enc_change_dec_only,8
178,titanic,0.7982062780269058,0.9820627802690582,16.258,0.706,0.737,18.036,3.562,remove_enc_change_dec_only,8
179,breast_cancer,0.9720279720279721,1.0,5.134,0.987,0.273,30.0,0.555,remove_enc_change_dec_only,8
